Kanji,Level,HanViet,On_Kana,On_Romaji,Kun_Kana,Kun_Romaji,Examples
拒,1,Cự,キョ,kyo,こば.む,kobamu,拒否 (きょひ) [kyohi]: Rejection; 拒む (こばむ) [kobamu]: To refuse
虚,1,Hư,キョ,kyo,むな.しい,munashii,虚空 (こくう) [kokuu]: Void; 虚しい (むなしい) [munashii]: Empty/Vain
享,1,Hưởng,キョウ,kyou,う.ける,ukeru,享受 (きょうじゅ) [kyouju]: Enjoyment; 享年 (きょうねん) [kyounen]: Age at death
峡,1,Giáp,キョウ,kyou,はざま,hazama,海峡 (かいきょう) [kaikyou]: Strait
恭,1,Cung,キョウ,kyou,うやうや.しい,uyauyashii,恭順 (きょうじゅん) [kyoujun]: Allegiance
挟,1,Hiệp,キョウ,kyou,はさ.む,hasamu,挟む (はさむ) [hasamu]: To hold between
矯,1,Kiểu,キョウ,kyou,た.める,tameru,矯正 (きょうせい) [kyousei]: Correction
脅,1,Hiếp,キョウ,kyou,おど.す,odosu,脅迫 (きょうはく) [kyouhaku]: Threat; 脅かす (おどかす) [odokasu]: To threaten
凝,1,Ngưng,ギョウ,gyou,こ.る,koru,凝固 (ぎょうこ) [gyouko]: Solidification; 凝る (こる) [koru]: To grow stiff/be absorbed in
暁,1,Hiểu,ギョウ,gyou,あかつき,akatsuki,暁 (あかつき) [akatsuki]: Dawn
斤,1,Cân,キン,kin,,,斤量 (きんりょう) [kinryou]: Weight
琴,1,Cầm,キン,kin,こと,koto,琴 (こと) [koto]: Koto (Japanese harp)
菌,1,Khuẩn,キン,kin,,,細菌 (さいきん) [saikin]: Bacteria; 殺菌 (さっきん) [sakkin]: Sterilization
襟,1,Khâm,キン,kin,えり,eri,襟 (えり) [eri]: Collar
謹,1,Cẩn,キン,kin,つつし.む,tsutsushimu,謹慎 (きんしん) [kinshin]: Penitence/Suspension; 謹んで (つつしんで) [tsutsushinde]: Respectfully
吟,1,Ngâm,ギン,gin,,,吟味 (ぎんみ) [ginmi]: Close inspection; 詩吟 (しぎん) [shigin]: Recitation of poetry
隅,2,Ngung,グウ,guu,すみ,sumi,片隅 (かたすみ) [katasumi]: Corner; 隅 (すみ) [sumi]: Corner
勲,1,Huân,クン,kun,,,勲章 (くんしょう) [kunshou]: Decoration/Medal
薫,1,Huân,クン,kun,かお.る,kaoru,薫製 (くんせい) [kunsei]: Smoked food; 薫る (かおる) [kaoru]: To smell sweet
刑,1,Hình,ケイ,kei,,,刑事 (けいじ) [keiji]: Detective; 刑罰 (けいばつ) [keibatsu]: Punishment
茎,1,Hành,ケイ,kei,くき,kuki,地下茎 (ちかけい) [chikakei]: Rhizome; 茎 (くき) [kuki]: Stem
契,1,Khế,ケイ,kei,ちぎ.る,chigiru,契約 (けいやく) [keiyaku]: Contract; 契機 (けいき) [keiki]: Opportunity
啓,1,Khải,ケイ,kei,,,啓発 (けいはつ) [keihatsu]: Enlightenment
掲,1,Yết,ケイ,kei,かか.げる,kakageru,掲示 (けいじ) [keiji]: Notice/Bulletin; 掲げる (かかげる) [kakageru]: To put up/hoist
渓,1,Khê,ケイ,kei,,,渓谷 (けいこく) [keikoku]: Valley
蛍,1,Huỳnh,ケイ,kei,ほたる,hotaru,蛍光灯 (けいこうとう) [keikoutou]: Fluorescent lamp; 蛍 (ほたる) [hotaru]: Firefly
携,1,Huề,ケイ,kei,たずさ.わる,tazusawaru,携帯 (けいたい) [keitai]: Portable/Mobile phone; 携わる (たずさわる) [tazusawaru]: To participate in
慶,1,Khánh,ケイ,kei,,,慶事 (けいじ) [keiji]: Auspicious event
憩,1,Khế,ケイ,kei,いこ.い,ikoi,休憩 (きゅうけい) [kyuukei]: Rest/Break; 憩い (いこい) [ikoi]: Rest
鶏,1,Kê,ケイ,kei,にわとり,niwatori,養鶏 (ようけい) [youkei]: Poultry farming; 鶏 (にわとり) [niwatori]: Chicken
鯨,1,Kình,ゲイ,gei,くじら,kujira,捕鯨 (ほげい) [hogei]: Whaling; 鯨 (くじら) [kujira]: Whale
隙,1,Khích,ゲキ,geki,すき,suki,隙間 (すきま) [sukima]: Gap/Crevice
桁,1,Hành,ケタ,keta,,,桁 (けた) [keta]: Digit/Beam
傑,1,Kiệt,ケツ,ketsu,,,傑作 (けっさく) [kessaku]: Masterpiece
倹,1,Kiệm,ケン,ken,,,倹約 (けんやく) [kenyaku]: Economy/Thrift
拳,1,Quyền,ケン,ken,こぶし,kobushi,拳銃 (けんじゅう) [kenjuu]: Pistol; 拳 (こぶし) [kobushi]: Fist
嫌,2,Hiềm,ケン,ken,きら.う,kirau,嫌悪 (けんお) [ken'o]: Hatred; 嫌い (きらい) [kirai]: Dislike
献,1,Hiến,ケン,ken,,,献立 (こんだて) [kondate]: Menu; 献血 (けんけつ) [kenketsu]: Blood donation
賢,1,Hiền,ケン,ken,かしこ.い,kashikoi,賢明 (けんめい) [kenmei]: Wise; 賢い (かしこい) [kashikoi]: Wise
謙,1,Khiêm,ケン,ken,,,謙虚 (けんきょ) [kenkyo]: Modesty
鍵,1,Kiện,ケン,ken,かぎ,kagi,鍵盤 (けんばん) [kenban]: Keyboard; 鍵 (かぎ) [kagi]: Key
顕,1,Hiển,ケン,ken,,,顕微鏡 (けんびきょう) [kenbikyou]: Microscope; 顕著 (けんちょ) [kencho]: Remarkable
懸,1,Huyền,ケン,ken,か.ける,kakeru,懸命 (けんめい) [kenmei]: Eager/Earnest; 懸念 (けねん) [kenen]: Fear/Worry
幻,1,Huyễn,ゲン,gen,まぼろし,maboroshi,幻想 (げんそう) [gensou]: Illusion; 幻 (まぼろし) [maboroshi]: Phantom
弦,1,Huyền,ゲン,gen,つる,tsuru,弦楽器 (げんがっき) [gengakki]: Stringed instrument; 弦 (つる) [tsuru]: Bowstring
弧,1,Hồ,コ,ko,,,括弧 (かっこ) [kakko]: Parentheses; 円弧 (えんこ) [enko]: Arc
虎,1,Hổ,コ,ko,とら,tora,虎 (とら) [tora]: Tiger
股,1,Cổ,コ,ko,また,mata,股関節 (こかんせつ) [kokansetsu]: Hip joint; 股 (また) [mata]: Crotch/Thigh
顧,1,Cố,コ,ko,かえり.みる,kaerimiru,顧客 (こきゃく) [kokyaku]: Customer; 顧問 (こもん) [komon]: Advisor
呉,1,Ngô,ゴ,go,く.れる,kureru,呉服 (ごふく) [gofuku]: Kimono fabrics; くれる (くれる) [kureru]: To give
娯,1,Ngu,ゴ,go,,,娯楽 (ごらく) [goraku]: Pleasure/Entertainment
悟,1,Ngộ,ゴ,go,さと.る,satoru,覚悟 (かくご) [kakugo]: Resolution/Resignation; 悟る (さとる) [satoru]: To realize
碁,1,Kỳ,ゴ,go,,,囲碁 (いご) [igo]: Go (board game)
孔,1,Khổng,コウ,kou,,,気孔 (きこう) [kikou]: Stoma/Pore
巧,1,Xảo,コウ,kou,たく.み,takumi,巧み (たくみ) [takumi]: Skillful; 精巧 (せいこう) [seikou]: Exquisite
甲,1,Giáp,コウ,kou,かん,kan,甲板 (かんぱん) [kanpan]: Deck (ship); 甲羅 (こうら) [koura]: Shell (turtle)
坑,1,Khanh,コウ,kou,,,坑道 (こうどう) [koudou]: Mine shaft/Tunnel
拘,1,Câu,コウ,kou,,,拘束 (こうそく) [kousoku]: Restriction; 拘置 (こうち) [kouchi]: Detention
郊,2,Giao,コウ,kou,,,郊外 (こうがい) [kougai]: Suburbs; 近郊 (きんこう) [kinkou]: Suburbs
洪,1,Hồng,コウ,kou,,,洪水 (こうずい) [kouzui]: Flood
硬,1,Ngạnh,コウ,kou,かた.い,katai,硬貨 (こうか) [kouka]: Coin; 硬い (かたい) [katai]: Hard
絞,1,Giảo,コウ,kou,しぼ.る,shiboru,絞殺 (こうさつ) [kousatsu]: Strangling; 絞る (しぼる) [shiboru]: To wring/squeeze
綱,1,Cương,コウ,kou,つな,tsuna,要綱 (ようこう) [youkou]: Outline; 綱 (つな) [tsuna]: Rope
酵,1,Giáo,コウ,kou,,,酵素 (こうそ) [kouso]: Enzyme; 発酵 (はっこう) [hakkou]: Fermentation
購,1,Cấu,コウ,kou,,,購入 (こうにゅう) [kounyuu]: Purchase; 購読 (こうどく) [koudoku]: Subscription
肯,1,Khẳng,コウ,kou,,,肯定 (こうてい) [koutei]: Affirmation
侯,1,Hầu,コウ,kou,,,侯爵 (こうしゃく) [koushaku]: Marquis
溝,1,Câu,コウ,kou,みぞ,mizo,排水溝 (はいすいこう) [haisuikou]: Drainage ditch; 溝 (みぞ) [mizo]: Ditch/Gap
拷,1,Khảo,ゴウ,gou,,,拷問 (ごうもん) [goumon]: Torture
剛,1,Cương,ゴウ,gou,,,剛健 (ごうけん) [gouken]: Robust/Vigorous
克,1,Khắc,コク,koku,,,克服 (こくふく) [kokufuku]: Overcoming
酷,1,Khốc,コク,koku,ひど.い,hidoi,残酷 (ざんこく) [zankoku]: Cruel; 酷い (ひどい) [hidoi]: Terrible
獄,1,Ngục,ゴク,goku,,,地獄 (じごく) [jigoku]: Hell; 監獄 (かんごく) [kangoku]: Prison
腰,1,Yêu,ヨウ,you,こし,koshi,腰痛 (ようつう) [youtuu]: Backache; 腰 (こし) [koshi]: Waist/Hips
忽,1,Hốt,コツ,kotsu,たちま.ち,tachimachi,忽然 (こつぜん) [kotsuzen]: Suddenly
頃,1,Khoảnh,,ころ,koro,頃 (ころ) [koro]: Time/About
昆,1,Côn,コン,kon,,,昆虫 (こんちゅう) [konchuu]: Insect
恨,1,Hận,コン,kon,うら.む,uramu,悔恨 (かいこん) [kaikon]: Remorse; 恨み (うらみ) [urami]: Grudge
痕,1,Ngân,コン,kon,あと,ato,痕跡 (こんせき) [konseki]: Trace/Mark
紺,1,Cám,コン,kon,,,紺色 (こんいろ) [koniro]: Navy blue
魂,1,Hồn,コン,kon,たましい,tamashii,霊魂 (れいこん) [reikon]: Soul; 魂 (たましい) [tamashii]: Soul/Spirit
墾,1,Khẩn,コン,kon,,,開墾 (かいこん) [kaikon]: Cultivation
懇,1,Khẩn,コン,kon,ねんご.ろ,nengoro,懇親 (こんしん) [konshin]: Friendship/Intimacy; 懇願 (こんがん) [kongan]: Entreaty
佐,1,Tá,サ,sa,,,佐官 (さかん) [sakan]: Field officer
沙,1,Sa,サ,sa,,,沙汰 (さた) [sata]: News/Tidings
唆,1,Toa,サ,sa,そそのか.す,sosonokasu,示唆 (しさ) [shisa]: Suggestion
詐,1,Trá,サ,sa,いつわ.る,itsuwaru,詐欺 (さぎ) [sagi]: Fraud; 詐称 (さしょう) [sashou]: False personation
挫,1,Tỏa,ザ,za,くじ.く,kujiku,挫折 (ざせつ) [zasetsu]: Setback/Frustration
債,1,Trái,サイ,sai,,,債務 (さいむ) [saimu]: Debt; 国債 (こくさい) [kokusai]: Government bond
催,1,Thôi,サイ,sai,もよう.す,moyousu,開催 (かいさい) [kaisai]: Holding (event); 催し (もよおし) [moyooshi]: Event
宰,1,Tể,サイ,sai,,,宰相 (さいしょう) [saishou]: Prime Minister
斎,1,Trai,サイ,sai,,,書斎 (しょさい) [shosai]: Study (room)
崎,1,Khi,,,さき,saki,長崎 (ながさき) [nagasaki]: Nagasaki
搾,1,Trá,サク,saku,しぼ.る,shiboru,搾取 (さくしゅ) [sakushu]: Exploitation; 搾る (しぼる) [shiboru]: To squeeze
拶,1,Tạt,サツ,satsu,,,挨拶 (あいさつ) [aisatsu]: Greeting
桟,1,Sạn,サン,san,,,桟橋 (さんばし) [sanbashi]: Pier/Wharf
惨,1,Thảm,サン,san,みじ.め,mijime,悲惨 (ひさん) [hisan]: Miserable; 惨め (みじめ) [mijime]: Miserable
斬,1,Trảm,ザン,zan,き.る,kiru,斬新 (ざんしん) [zanshin]: Novel/Original
仔,1,Tử,シ,shi,,,仔牛 (こうし) [koushi]: Calf
伺,1,Tứ,シ,shi,うかが.う,ukagau,伺う (うかがう) [ukagau]: To ask/visit (humble)
刺,1,Thích,シ,shi,さ.す,sasu,名刺 (めいし) [meishi]: Business card; 刺す (さす) [sasu]: To stab/sting
嗣,1,Tự,シ,shi,,,後嗣 (こうし) [koushi]: Heir
旨,1,Chỉ,シ,shi,むね,mune,趣旨 (しゅし) [shushi]: Purport/Aim
紫,1,Tử,シ,shi,むらさき,murasaki,紫外線 (しがいせん) [shigaisen]: Ultraviolet rays; 紫 (むらさき) [murasaki]: Purple
肢,1,Chi,シ,shi,,,選択肢 (せんたくし) [sentakushi]: Choices/Options
脂,1,Chi,シ,shi,あぶら,abura,脂肪 (しぼう) [shibou]: Fat/Grease; 脂 (あぶら) [abura]: Fat
雌,1,Thư,シ,shi,めす,mesu,雌雄 (しゆう) [shiyuu]: Male and female; 雌 (めす) [mesu]: Female (animal)
執,1,Chấp,"シツ, シュウ","shitsu, shuu",と.る,toru,執筆 (しっぴつ) [shippitsu]: Writing; 執着 (しゅうちゃく) [shuuchaku]: Attachment/Obsession
斜,2,Tà,シャ,sha,なな.め,naname,斜面 (しゃめん) [shamen]: Slope; 斜め (ななめ) [naname]: Diagonal
煮,2,Chử,シャ,sha,に.る,niru,煮物 (にもの) [nimono]: Stewed foods; 煮る (にる) [niru]: To boil/stew
遮,1,Già,シャ,sha,さえぎ.る,saegiru,遮断 (しゃだん) [shadan]: Interception/Isolation; 遮る (さえぎる) [saegiru]: To interrupt/block
狩,1,Thú,シュ,shu,か.る,karu,狩猟 (しゅりょう) [shuryou]: Hunting; 狩る (かる) [karu]: To hunt
珠,1,Châu,シュ,shu,たま,tama,真珠 (しんじゅ) [shinju]: Pearl
趣,1,Thú,シュ,shu,おもむき,omomuki,趣味 (しゅみ) [shumi]: Hobby; 趣 (おもむき) [omomuki]: Gist/Effect
儒,1,Nho,ジュ,ju,,,儒教 (じゅきょう) [jukyou]: Confucianism
需,2,Nhu,ジュ,ju,,,需要 (じゅよう) [juyou]: Demand; 必需品 (ひつじゅひん) [hitsujuhin]: Necessities
囚,1,Tù,シュウ,shuu,,,囚人 (しゅうじん) [shuujin]: Prisoner
秀,1,Tú,シュウ,shuu,ひい.でる,hiideru,優秀 (ゆうしゅう) [yuushuu]: Excellent; 秀でる (ひいでる) [hiideru]: To excel
臭,2,Xú,シュウ,shuu,くさ.い,kusai,悪臭 (あくしゅう) [akushuu]: Bad smell; 臭い (くさい) [kusai]: Smelly
舟,1,Chu,シュウ,shuu,ふね,fune,舟 (ふね) [fune]: Boat (small)
襲,1,Tập,シュウ,shuu,おそ.う,osou,襲撃 (しゅうげき) [shuugeki]: Attack/Raid; 襲う (おそう) [osou]: To attack
酬,1,Thù,シュウ,shuu,,,報酬 (ほうしゅう) [houshuu]: Remuneration/Reward
醜,1,Xú,シュウ,shuu,みにく.い,minikui,醜悪 (しゅうあく) [shuuaku]: Ugly/Meanness; 醜い (みにくい) [minikui]: Ugly
充,2,Sung,ジュウ,juu,あ.てる,ateru,充実 (じゅうじつ) [juujitsu]: Fullness/Completion; 充電 (じゅうでん) [juuden]: Charging (battery)
銃,2,Súng,ジュウ,juu,,,銃 (じゅう) [juu]: Gun; 拳銃 (けんじゅう) [kenjuu]: Pistol
渋,1,Sáp,ジュウ,juu,しぶ.い,shibui,渋滞 (じゅうたい) [juutai]: Traffic jam; 渋い (しぶい) [shibui]: Astringent/Tasteful
柔,2,Nhu,ジュウ,juu,やわ.らか,yawaraka,柔軟 (じゅうなん) [juunan]: Flexible; 柔らかい (やわらかい) [yawarakai]: Soft
獣,1,Thú,ジュウ,juu,けもの,kemono,猛獣 (もうじゅう) [moujuu]: Wild beast; 獣 (けもの) [kemono]: Beast
粛,1,Túc,シュク,shuku,,,自粛 (じしゅく) [jishuku]: Self-restraint; 厳粛 (げんしゅく) [genshuku]: Solemn/Grave
塾,1,Thục,ジュク,juku,,,学習塾 (がくしゅうじゅく) [gakushuujuku]: Cram school; 塾 (じゅく) [juku]: Cram school
准,1,Chuẩn,ジュン,jun,,,准教授 (じゅんきょうじゅ) [junkyouju]: Associate professor
殉,1,Tuẫn,ジュン,jun,,,殉職 (じゅんしょく) [junshoku]: Dying in the line of duty
循,1,Tuần,ジュン,jun,,,循環 (じゅんかん) [junkan]: Circulation
盾,1,Thuẫn,ジュン,jun,たて,tate,矛盾 (むじゅん) [mujun]: Contradiction; 盾 (たて) [tate]: Shield
庶,1,Thứ,ショ,sho,,,庶民 (しょみん) [shomin]: Common people
緒,2,Tự,ショ,sho,お,o,一緒 (いっしょ) [issho]: Together; 情緒 (じょうちょ) [joucho]: Emotion/Atmosphere
升,1,Thăng,ショウ,shou,ます,masu,一升瓶 (いっしょうびん) [isshoubin]: 1.8 liter bottle; 升 (ます) [masu]: Measuring box
抄,1,Sao,ショウ,shou,,,抄本 (しょうほん) [shouhon]: Extract/Copy
肖,1,Tiếu,ショウ,shou,,,肖像 (しょうぞう) [shouzou]: Portrait
尚,1,Thượng,ショウ,shou,,,高尚 (こうしょう) [koushou]: Noble/Refined
症,1,Chứng,ショウ,shou,,,症状 (しょうじょう) [shoujou]: Symptoms; 炎症 (えんしょう) [enshou]: Inflammation
祥,1,Tường,ショウ,shou,,,発祥 (はっしょう) [hasshou]: Origin
称,1,Xưng,ショウ,shou,,,名称 (めいしょう) [meishou]: Name/Title; 称する (しょうする) [shousuru]: To call oneself
渉,1,Thiệp,ショウ,shou,,,干渉 (かんしょう) [kanshou]: Interference; 交渉 (こうしょう) [koushou]: Negotiation
紹,2,Thiệu,ショウ,shou,,,紹介 (しょうかい) [shoukai]: Introduction
粧,2,Trang,ショウ,shou,,,化粧 (けしょう) [keshou]: Makeup
訟,1,Tụng,ショウ,shou,,,訴訟 (そしょう) [soshou]: Lawsuit
詔,1,Chiếu,ショウ,shou,みことのり,mikotonori,詔書 (しょうしょ) [shousho]: Imperial edict
詳,2,Tường,ショウ,shou,くわ.しい,kuwashii,詳細 (しょうさい) [shousai]: Details; 詳しい (くわしい) [kuwashii]: Detailed
償,1,Thường,ショウ,shou,つぐな.う,tsugunau,賠償 (ばいしょう) [baishou]: Compensation; 償う (つぐなう) [tsugunau]: To make up for
床,2,Sàng,ショウ,shou,とこ,toko,床 (ゆか) [yuka]: Floor; 起床 (きしょう) [kishou]: Rising (from bed)
沼,1,Chiểu,ショウ,shou,ぬま,numa,泥沼 (どろぬま) [doronuma]: Bog/Quagmire; 沼 (ぬま) [numa]: Swamp
硝,1,Tiêu,ショウ,shou,,,硝子 (ガラス) [garasu]: Glass; 硝酸 (しょうさん) [shousan]: Nitric acid
礁,1,Tiều,ショウ,shou,,,サンゴ礁 (さんごしょう) [sangoshou]: Coral reef
奨,2,Tưởng,ショウ,shou,すす.める,susumeru,奨励 (しょうれい) [shourei]: Encouragement; 奨学金 (しょうがくきん) [shougakukin]: Scholarship
彰,1,Chương,ショウ,shou,,,表彰 (ひょうしょう) [hyoushou]: Public recognition
浄,1,Tịnh,ジョウ,jou,,,洗浄 (せんじょう) [senjou]: Washing/Cleaning; 浄化 (じょうか) [jouka]: Purification
剰,1,Thặng,ジョウ,jou,,,余剰 (よじょう) [yojou]: Surplus
畳,2,Điệp,ジョウ,jou,たたみ,tatami,畳 (たたみ) [tatami]: Tatami mat; 畳む (たたむ) [tatamu]: To fold
壌,1,Nhưỡng,ジョウ,jou,,,土壌 (どじょう) [dojou]: Soil
醸,1,Nhưỡng,ジョウ,jou,かも.す,kamosu,醸造 (じょうぞう) [jouzou]: Brewing; 醸す (かもす) [kamosu]: To brew/cause
飾,2,Sức,ショク,shoku,かざ.る,kazaru,装飾 (そうしょく) [soushoku]: Decoration; 飾る (かざる) [kazaru]: To decorate
殖,1,Thực,ショク,shoku,ふ.える,fueru,繁殖 (はんしょく) [hanshoku]: Breeding; 増殖 (ぞうしょく) [zoushoku]: Multiplication
触,2,Xúc,ショク,shoku,さわ.る,sawaru,接触 (せっしょく) [sesshoku]: Contact; 触る (さわる) [sawaru]: To touch
侵,1,Xâm,シン,shin,おか.す,okasu,侵害 (しんがい) [shingai]: Infringement; 侵す (おかす) [okasu]: To invade
唇,1,Thần,シン,shin,くちびる,kuchibiru,唇 (くちびる) [kuchibiru]: Lips
娠,1,Thần,シン,shin,,,妊娠 (にんしん) [ninshin]: Pregnancy
寝,2,Tẩm,シン,shin,ね.る,neru,寝室 (しんしつ) [shinshitsu]: Bedroom; 寝る (ねる) [neru]: To sleep
慎,1,Thận,シン,shin,つつし.む,tsutsushimu,慎重 (しんちょう) [shinchou]: Careful/Discreet; 慎む (つつしむ) [tsutsushimu]: To be discreet
振,2,Chấn,シン,shin,ふ.る,furu,振動 (しんどう) [shindou]: Vibration; 振る (ふる) [furu]: To wave/shake
浸,1,Tẩm,シン,shin,ひた.す,hitasu,浸透 (しんとう) [shintou]: Permeation; 浸す (ひたす) [hitasu]: To soak/dip
薪,1,Tân,シン,shin,たきぎ,takigi,薪 (たきぎ) [takigi]: Firewood
震,2,Chấn,シン,shin,ふる.える,furueru,地震 (じしん) [jishin]: Earthquake; 震える (ふるえる) [furueru]: To shiver
尋,1,Tầm,ジン,jin,たず.ねる,tazuneru,尋問 (じんもん) [jinmon]: Interrogation; 尋ねる (たずねる) [tazuneru]: To ask/inquire
尽,1,Tận,ジン,jin,つ.くす,tsukusu,尽力 (じんりょく) [jinryoku]: Effort; 尽くす (つくす) [tsukusu]: To exhaust/serve
迅,1,Tấn,ジン,jin,,,迅速 (じんそく) [jinsoku]: Quick/Rapid
甚,1,Thậm,ジン,jin,はなは.だ,hanahada,甚大 (じんだい) [jindai]: Enormous; 甚だしい (はなはだしい) [hanahadashii]: Extreme
帥,1,Soái,スイ,sui,,,元帥 (げんすい) [gensui]: Marshal
睡,2,Thụy,スイ,sui,,,睡眠 (すいみん) [suimin]: Sleep; 熟睡 (じゅくすい) [jukusui]: Deep sleep
錘,1,Chùy,スイ,sui,つむ,tsumu,錘 (おもり) [omori]: Weight/Sinker
井,1,Tỉnh,セイ,sei,い,i,天井 (てんじょう) [tenjou]: Ceiling; 井戸 (いど) [ido]: Well
凄,1,Thê,セイ,sei,すさ.まじい,susamajii,凄惨 (せいさん) [seisan]: Gruesome; 凄い (すごい) [sugoi]: Amazing/Terrible
醒,1,Tỉnh,セイ,sei,さ.める,sameru,覚醒 (かくせい) [kakusei]: Awakening; 醒める (さめる) [sameru]: To wake up
戚,1,Thích,セキ,seki,,,親戚 (しんせき) [shinseki]: Relatives
践,1,Tiễn,セン,sen,,,実践 (じっせん) [jissen]: Practice
遷,1,Thiên,セン,sen,,,変遷 (へんせん) [hensen]: Transition/Change
鮮,2,Tiên,セン,sen,あざ.やか,azayaka,新鮮 (しんせん) [shinsen]: Fresh; 鮮やか (あざやか) [azayaka]: Vivid
狙,1,Thư,ソ,so,ねら.う,nerau,狙撃 (そげき) [sogeki]: Sniping; 狙う (ねらう) [nerau]: To aim at
阻,1,Trở,ソ,so,はば.む,habamu,阻止 (そし) [soshi]: Prevention; 阻む (はばむ) [habamu]: To obstruct
訴,2,Tố,ソ,so,うった.える,uttaeru,訴訟 (そしょう) [soshou]: Lawsuit; 訴える (うったえる) [uttaeru]: To sue/complain
僧,1,Tăng,ソウ,sou,,,僧侶 (そうりょ) [souryo]: Monk; 小僧 (こぞう) [kozou]: Young monk/Brat
燥,2,Táo,ソウ,sou,,,乾燥 (かんそう) [kansou]: Dryness; 乾燥機 (かんそうき) [kansouki]: Dryer
騒,2,Tao,ソウ,sou,さわ.ぐ,sawagu,騒音 (そうおん) [souon]: Noise; 騒ぐ (さわぐ) [sawagu]: To make noise
贈,2,Tặng,ソウ,sou,おく.る,okuru,贈答 (ぞうとう) [zoutou]: Gift giving; 贈る (おくる) [okuru]: To give (gift)
濯,2,Trạc,タク,taku,,,洗濯 (せんたく) [sentaku]: Washing/Laundry
綻,1,Trán,タン,tan,ほころ.びる,hokorobiru,破綻 (はたん) [hatan]: Failure/Bankruptcy; 綻びる (ほころびる) [hokorobiru]: To come apart/smile
緻,1,Trí,チ,chi,,,緻密 (ちみつ) [chimitsu]: Precise/Fine
蓄,1,Súc,チク,chiku,たくわ.える,takuwaeru,蓄積 (ちくせき) [chikuseki]: Accumulation; 蓄える (たくわえる) [takuwaえる]: To store
酎,1,Trữu,チュウ,chuu,,,焼酎 (しょうちゅう) [shouchuu]: Shochu (liquor)
嘲,1,Trào,チョウ,chou,あざけ.る,azakeru,嘲笑 (ちょうしょう) [choushou]: Scornful laughter; 嘲る (あざける) [azakeru]: To ridicule
廷,1,Đình,テイ,tei,,,法廷 (ほうてい) [houtei]: Courtroom
抵,2,Để,テイ,tei,,,抵抗 (ていこう) [teikou]: Resistance; 抵触 (ていしょく) [teishoku]: Conflict
填,1,Điền,テン,ten,,,補填 (ほてん) [hoten]: Compensation/Filling up
殿,2,Điện,デン,den,との,tono,宮殿 (きゅうでん) [kyuuden]: Palace; 殿様 (とのさま) [tonosama]: Feudal lord
疲,3,Bì,ヒ,hi,つか.れる,tsukareru,疲れる (つかれる) [tsukareru]: To get tired; 疲労 (ひろう) [hirou]: Fatigue
被,2,Bị,ヒ,hi,こうむ.る,koumuru,被害 (ひがい) [higai]: Damage; 被る (こうむる) [koumuru]: To suffer/receive
壁,3,Bích,ヘキ,heki,かべ,kabe,壁 (かべ) [kabe]: Wall; 絶壁 (ぜっぺき) [zeppeki]: Cliff
猛,1,Mãnh,モウ,mou,たけ.る,takeru,猛烈 (もうれつ) [mouretsu]: Fierce; 猛獣 (もうじゅう) [moujuu]: Wild beast
幽,1,U,ユウ,yuu,,,幽霊 (ゆうれい) [yuurei]: Ghost; 幽閉 (ゆうへい) [yuuhei]: Confinement
湧,1,Dũng,ユウ,yuu,わ.く,waku,湧出 (ゆうしゅつ) [yuushutsu]: Gushing; 湧く (わく) [waku]: To boil/gush
与,2,Dự,ヨ,yo,あた.える,ataeru,授与 (じゅよ) [juyo]: Awarding; 与える (あたえる) [ataeru]: To give
誉,1,Dự,ヨ,yo,ほま.れ,homare,名誉 (めいよ) [meiyo]: Honor; 誉れ (ほまれ) [homare]: Glory
妖,1,Yêu,ヨウ,you,あや.しい,ayashii,妖怪 (ようかい) [youkai]: Monster/Spirit; 妖艶 (ようえん) [youen]: Bewitching
踊,2,Dũng,ヨウ,you,おど.る,odoru,舞踊 (ぶよう) [buyou]: Dancing; 踊る (おどる) [odoru]: To dance
沃,1,Ốc,ヨク,yoku,,,肥沃 (ひよく) [hiyoku]: Fertile
硫,1,Lưu,リュウ,ryuu,,,硫酸 (りゅうさん) [ryuusan]: Sulfuric acid
虜,1,Lỗ,リョ,ryo,とりこ,toriko,捕虜 (ほりょ) [horyo]: Prisoner of war; 虜 (とりこ) [toriko]: Captive/Slave
糧,1,Lương,リョウ,ryou,かて,kate,食糧 (しょくりょう) [shokuryou]: Food provisions; 糧 (かて) [kate]: Food/Bread
累,1,Lũy,ルイ,rui,,,累積 (るいせき) [ruiseki]: Accumulation
零,1,Linh,レイ,rei,ぜろ,zero,零下 (れいか) [reika]: Below zero; 零 (ぜろ) [zero]: Zero
隷,1,Lệ,レイ,rei,,,奴隷 (どれい) [dorei]: Slave; 隷属 (れいぞく) [reizoku]: Subordination
裂,1,Liệt,レツ,retsu,さ.く,saku,破裂 (はれつ) [haretsu]: Explosion/Rupture; 裂く (さく) [saku]: To tear/rip
廉,1,Liêm,レン,ren,,,廉価 (れんか) [renka]: Low price/Cheap
弄,1,Lộng,ロウ,rou,もてあそ.ぶ,moteasobu,翻弄 (ほんろう) [honrou]: Trifling with; 弄ぶ (もてあそぶ) [moteasobu]: To toy with
郎,1,Lang,ロウ,rou,,,新郎 (しんろう) [shinrou]: Bridegroom; 野郎 (やろう) [yarou]: Guy/Rascal
籠,1,Lung,ロウ,rou,かご,kago,籠 (かご) [kago]: Basket/Cage
詠,1,Vịnh,エイ,ei,よ.む,yomu,"詠嘆 (えいたん) [eitan]: Exclamation; 詠む (よむ) [yomu]: To compose (poem)"
